30
30
64
1 0
28 29
5 13 
6 13
7 13
8 13
9 13
10 13
11 13
12 13
13 13
14 13
16 13
17 13
18 13
19 13
20 13
21 13
22 13
23 13
24 13
25 13
26 13
6 14
7 14
8 14
9 14
10 14
11 14
12 14
13 14
14 14
15 14
16 14
17 14
18 14
19 14
20 14
21 14
22 14
23 14
24 14
25 14
5 15
6 15
7 15
8 15
9 15
10 15
11 15
12 15
13 15
14 15
16 15
17 15
18 15
19 15
20 15
21 15
22 15
23 15
24 15
25 15
26 15
5
0 1
29 28
29 1
28 1
27 1
6
0 0 1 7 10 15
29 29 1 8 10 16
5 14 2 3 9 11
26 14 2 4 9 12
15 13 2 5 9 13
15 15 2 6 9 14
6
0 0 1 7 18 23
29 29 1 8 18 24
5 14 2 3 17 19
26 14 2 4 17 20
15 13 2 5 17 21
15 15 2 6 17 22
6
0 0 1 7 26 31
29 29 1 8 26 32
5 14 2 3 25 27
26 14 2 4 25 28
15 13 2 5 25 29
15 15 2 6 25 30
6
0 0 1 7 34 39
29 29 1 8 34 40
5 14 2 3 33 35
26 14 2 4 33 36
15 13 2 5 33 37
15 15 2 6 33 38
6
0 0 1 7 42 47
29 29 1 8 42 48
5 14 2 3 41 43
26 14 2 4 41 44
15 13 2 5 41 45
15 15 2 6 41 46
