9
9
27
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
0 8
1 8
2 8
3 8
4 8
5 8
6 8
7 8
2 3
2 5
3 3
3 4
3 5
4 4
5 3
5 4
5 5
6 3
6 5
6
0 1
8 7
8 1
7 1
6 1
5 1
6
0 0 1 7 10 15
8 8 1 8 10 16
2 4 2 3 9 11
6 4 2 4 9 12
4 3 2 5 9 13
4 5 2 6 9 14
6
0 0 1 7 18 23
8 8 1 8 18 24
2 4 2 3 17 19
6 4 2 4 17 20
4 3 2 5 17 21
4 5 2 6 17 22
6
0 0 1 7 26 31
8 8 1 8 26 32
2 4 2 3 25 27
6 4 2 4 25 28
4 3 2 5 25 29
4 5 2 6 25 30
6
0 0 1 7 34 39
8 8 1 8 34 40
2 4 2 3 33 35
6 4 2 4 33 36
4 3 2 5 33 37
4 5 2 6 33 38
6
0 0 1 7 42 47
8 8 1 8 42 48
2 4 2 3 41 43
6 4 2 4 41 44
4 3 2 5 41 45
4 5 2 6 41 46
6
0 0 1 7 50 55
8 8 1 8 50 56
2 4 2 3 49 51
6 4 2 4 49 52
4 3 2 5 49 53
4 5 2 6 49 54
