15
15
25
1 0
13 14
3 6
4 6
5 6
6 6
8 6
9 6
10 6
11 6
4 7
5 7
6 7
7 7
8 7
9 7
10 7
3 8
4 8
5 8
6 8
8 8
9 8
10 8
11 8
9
0 1
14 13
14 1
13 1
12 1
11 1
10 1
9 1
8 1
6
0 0 1 7 10 15
14 14 1 8 10 16
3 7 2 3 9 11
11 7 2 4 9 12
7 6 2 5 9 13
7 8 2 6 9 14
6
0 0 1 7 18 23
14 14 1 8 18 24
3 7 2 3 17 19
11 7 2 4 17 20
7 6 2 5 17 21
7 8 2 6 17 22
6
0 0 1 7 26 31
14 14 1 8 26 32
3 7 2 3 25 27
11 7 2 4 25 28
7 6 2 5 25 29
7 8 2 6 25 30
6
0 0 1 7 34 39
14 14 1 8 34 40
3 7 2 3 33 35
11 7 2 4 33 36
7 6 2 5 33 37
7 8 2 6 33 38
6
0 0 1 7 42 47
14 14 1 8 42 48
3 7 2 3 41 43
11 7 2 4 41 44
7 6 2 5 41 45
7 8 2 6 41 46
6
0 0 1 7 50 55
14 14 1 8 50 56
3 7 2 3 49 51
11 7 2 4 49 52
7 6 2 5 49 53
7 8 2 6 49 54
6
0 0 1 7 58 63
14 14 1 8 58 64
3 7 2 3 57 59
11 7 2 4 57 60
7 6 2 5 57 61
7 8 2 6 57 62
6
0 0 1 7 66 71
14 14 1 8 66 72
3 7 2 3 65 67
11 7 2 4 65 68
7 6 2 5 65 69
7 8 2 6 65 70
6
0 0 1 7 74 79
14 14 1 8 74 80
3 7 2 3 73 75
11 7 2 4 73 76
7 6 2 5 73 77
7 8 2 6 73 78
